"Id","Offense","Offense Conference","Defense","Defense Conference","Home","Away","Offense Score","Defense Score","Game Id","Drive Id","Drive Number","Play Number","Period","Clock Minutes","Clock Seconds","Offense Timeouts","Defense Timeouts","Yard Line","Yards To Goal","Down","Distance","Scoring","Yards Gained","Play Type","Play Text","Ppa","Wallclock"
"401309854101849902","BYU","FBS Independents","Arizona State","Pac-12","BYU","Arizona State","0","0","401309854","4013098541","1","1","1","15","0","3","3","35","65","1","10","false","12","Kickoff","Justen Smith kickoff for 65 yds , Geordon Porter return for 12 yds to the ArzSt 12 Geordon Porter fumbled, recovered by BYU Hayden Livingston","","2021-09-19T02:24:11.000Z"
"401309854101854901","BYU","FBS Independents","Arizona State","Pac-12","BYU","Arizona State","0","0","401309854","4013098541","1","2","1","14","50","3","3","88","12","1","10","false","9","Pass Reception","Jaren Hall pass complete to Gunner Romney for 9 yds to the ArzSt 3","0.6130374969502125","2021-09-19T02:24:11.000Z"
"401309854101855901","BYU","FBS Independents","Arizona State","Pac-12","BYU","Arizona State","0","0","401309854","4013098541","1","3","1","14","40","3","3","97","3","2","1","false","-1","Rush","Tyler Allgeier run for a loss of 1 yard to the ArzSt 4","-0.647467800416638","2021-09-19T02:24:11.000Z"
"401309854101857601","BYU","FBS Independents","Arizona State","Pac-12","BYU","Arizona State","7","0","401309854","4013098541","1","4","1","14","23","3","3","96","4","3","2","true","4","Rushing Touchdown","Tyler Allgeier run for 4 yds for a TD, (Justen Smith KICK)","2.564524845502351","2021-09-19T02:24:20.000Z"
"401309854101857603","BYU","FBS Independents","Arizona State","Pac-12","BYU","Arizona State","7","0","401309854","4013098542","2","1","1","14","23","3","3","35","65","3","2","false","0","Kickoff","Justen Smith kickoff for 65 yds for a touchback","","2021-09-19T02:24:20.000Z"
"401309854101889701","BYU","FBS Independents","Arizona State","Pac-12","BYU","Arizona State","7","7","401309854","4013098543","3","2","1","11","2","3","3","25","75","1","10","false","0","Pass Incompletion","Jaren Hall pass incomplete to Neil Pau'u","-0.70297002204365193","2021-09-19T02:35:29.000Z"
"401309854101889901","BYU","FBS Independents","Arizona State","Pac-12","BYU","Arizona State","7","7","401309854","4013098543","3","3","1","11","0","3","3","25","75","2","10","false","0","Pass Incompletion","Jaren Hall pass incomplete to Puka Nacua","-0.34710487712173865","2021-09-19T02:24:11.000Z"
"401309854101894301","BYU","FBS Independents","Arizona State","Pac-12","BYU","Arizona State","7","7","401309854","4013098543","3","4","1","10","56","3","3","25","75","3","10","false","-5","Penalty","BYU Penalty, False Start (Isaac Rex) to the BYU 20","","2021-09-19T02:24:11.000Z"
"401309854101895201","BYU","FBS Independents","Arizona State","Pac-12","BYU","Arizona State","7","7","401309854","4013098543","3","5","1","10","47","3","3","20","80","3","15","false","2","Rush","Tyler Allgeier run for 2 yds to the BYU 22","-0.04406329041376100","2021-09-19T02:38:26.000Z"
"401309854101897601","BYU","FBS Independents","Arizona State","Pac-12","BYU","Arizona State","7","7","401309854","4013098543","3","6","1","10","23","3","3","22","78","4","13","false","5","Punt","Ryan Rehkow punt for 51 yds , LV Bunkley-Shelton returns for 5 yds to the ArzSt 32","","2021-09-19T02:39:36.000Z"
"401309854101935401","BYU","FBS Independents","Arizona State","Pac-12","BYU","Arizona State","7","7","401309854","4013098545","5","1","1","6","45","3","3","1","99","1","10","false","0","Rush","Tyler Allgeier run for no gain to the BYU 1","-0.241209984609019658","2021-09-19T02:47:51.000Z"
"401309854101937501","BYU","FBS Independents","Arizona State","Pac-12","BYU","Arizona State","7","7","401309854","4013098545","5","2","1","6","24","3","3","1","99","2","10","false","0","Rush","Tyler Allgeier run for no gain to the BYU 1","-0.10236731084207573","2021-09-19T02:48:17.000Z"
"401309854101946201","BYU","FBS Independents","Arizona State","Pac-12","BYU","Arizona State","7","7","401309854","4013098545","5","3","1","5","37","3","3","1","99","3","10","false","1","Rush","Masen Wake run for 1 yd to the BYU 2","-0.0363188884024499","2021-09-19T02:49:03.000Z"
"401309854101954001","BYU","FBS Independents","Arizona State","Pac-12","BYU","Arizona State","7","7","401309854","4013098545","5","4","1","4","59","3","3","2","98","4","9","false","0","Punt","Ryan Rehkow punt for 50 yds, downed at the ArzSt 48","","2021-09-19T02:50:37.000Z"
"401309854101984701","BYU","FBS Independents","Arizona State","Pac-12","BYU","Arizona State","7","7","401309854","4013098547","7","1","1","1","52","3","3","20","80","1","10","false","3","Rush","Tyler Allgeier run for 3 yds to the BYU 23","-0.2366097161141063","2021-09-19T02:58:38.000Z"
"401309854101986501","BYU","FBS Independents","Arizona State","Pac-12","BYU","Arizona State","7","7","401309854","4013098547","7","2","1","1","34","3","3","23","77","2","7","false","3","Rush","Tyler Allgeier run for 3 yds to the BYU 26","-0.18622825165887135","2021-09-19T02:58:56.000Z"
"401309854101995401","BYU","FBS Independents","Arizona State","Pac-12","BYU","Arizona State","7","7","401309854","4013098547","7","3","1","0","45","3","3","26","74","3","4","false","-9","Sack","Jaren Hall sacked by D.J. Davidson and Michael Matus for a loss of 9 yards to the BYU 17","-0.54989756098594799","2021-09-19T02:59:58.000Z"
"401309854101997001","BYU","FBS Independents","Arizona State","Pac-12","BYU","Arizona State","7","7","401309854","4013098547","7","4","1","0","29","3","3","17","83","4","13","false","0","Punt","Ryan Rehkow punt for 83 yds for a touchback","","2021-09-19T03:00:25.000Z"
"401309854102895901","BYU","FBS Independents","Arizona State","Pac-12","BYU","Arizona State","7","7","401309854","4013098549","9","1","2","10","40","3","3","17","83","1","10","false","9","Pass Reception","Jaren Hall pass complete to Dallin Holker for 9 yds to the BYU 26","1.0230852361544169","2021-09-19T03:11:54.000Z"
"401309854102897901","BYU","FBS Independents","Arizona State","Pac-12","BYU","Arizona State","7","7","401309854","4013098549","9","2","2","10","20","3","3","26","74","2","1","false","-11","Rush","Tyler Allgeier run for 4 yds to the BYU 30 BYU Penalty, Personal Foul (Neil Pau'u) to the BYU 15","-1.7802243040784802","2021-09-19T03:13:35.000Z"
"401309854102904901","BYU","FBS Independents","Arizona State","Pac-12","BYU","Arizona State","7","7","401309854","4013098549","9","3","2","9","50","3","3","15","85","2","12","false","31","Pass Reception","Jaren Hall pass complete to Dallin Holker for 31 yds to the BYU 46 for a 1ST down","2.95350100401472893","2021-09-19T03:13:54.000Z"
"401309854102906201","BYU","FBS Independents","Arizona State","Pac-12","BYU","Arizona State","7","7","401309854","4013098549","9","4","2","9","37","3","3","46","54","1","10","false","0","Pass Incompletion","Jaren Hall pass incomplete to Isaac Rex","-1.1590089706435955","2021-09-19T03:14:10.000Z"
"401309854102908901","BYU","FBS Independents","Arizona State","Pac-12","BYU","Arizona State","7","7","401309854","4013098549","9","5","2","9","10","3","3","46","54","2","10","false","20","Pass Reception","Jaren Hall pass complete to Neil Pau'u for 20 yds to the ArzSt 34 for a 1ST down","2.4071803474151335","2021-09-19T03:14:49.000Z"
"401309854102914501","BYU","FBS Independents","Arizona State","Pac-12","BYU","Arizona State","14","7","401309854","4013098549","9","6","2","8","54","3","3","66","34","1","10","true","34","Passing Touchdown","Jaren Hall pass complete to Gunner Romney for 34 yds for a TD, (Justen Smith KICK)","2.93672616091367","2021-09-19T03:15:49.000Z"
"401309854102914503","BYU","FBS Independents","Arizona State","Pac-12","BYU","Arizona State","14","7","401309854","40130985410","10","1","2","8","54","3","3","35","65","1","10","false","25","Kickoff","Justen Smith kickoff for 63 yds , Rachaad White return for 25 yds to the ARIZONAST 40 ARIZONA ST Penalty, Offensive Holding (10 Yards) to the ArzSt 17","","2021-09-19T03:15:49.000Z"
"401309854102929901","BYU","FBS Independents","Arizona State","Pac-12","BYU","Arizona State","14","7","401309854","40130985411","11","1","2","7","0","3","2","26","74","1","10","false","34","Pass Reception","Jaren Hall pass complete to Gunner Romney for 34 yds to the ArzSt 40 for a 1ST down","2.8177271685236249","2021-09-19T03:27:59.000Z"
"401309854102935301","BYU","FBS Independents","Arizona State","Pac-12","BYU","Arizona State","14","7","401309854","40130985411","11","2","2","6","46","3","2","60","40","1","10","false","0","Pass Incompletion","Jaren Hall pass incomplete to Puka Nacua","-0.8457687366186874","2021-09-19T03:29:03.000Z"
"401309854102936001","BYU","FBS Independents","Arizona State","Pac-12","BYU","Arizona State","14","7","401309854","40130985411","11","3","2","6","39","3","2","60","40","2","10","false","0","Pass Incompletion","Jaren Hall pass incomplete to Tyler Allgeier","-1.0264463089218036","2021-09-19T03:29:38.000Z"
"401309854102938601","BYU","FBS Independents","Arizona State","Pac-12","BYU","Arizona State","14","7","401309854","40130985411","11","4","2","6","13","3","2","60","40","3","10","false","11","Pass Reception","Jaren Hall pass complete to Samson Nacua for 11 yds to the ArzSt 29 for a 1ST down","2.272963004879720","2021-09-19T03:31:15.000Z"
