"Id","Offense","Offense Conference","Defense","Defense Conference","Home","Away","Offense Score","Defense Score","Game Id","Drive Id","Drive Number","Play Number","Period","Clock Minutes","Clock Seconds","Offense Timeouts","Defense Timeouts","Yard Line","Yards To Goal","Down","Distance","Scoring","Yards Gained","Play Type","Play Text","Ppa","Wallclock"
"401309914101849903","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","0","0","401309914","4013099141","1","1","1","15","0","3","3","35","65","1","10","false","0","Kickoff","Jake Oldroyd kickoff for 65 yds for a touchback","","2021-11-06T00:00:00.000Z"
"401309914101867303","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","0","0","401309914","4013099142","2","1","1","13","26","3","3","45","55","1","10","false","10","Pass Reception","Jaren Hall pass complete to Neil Pau'u for 10 yds to the IdaSt 45 for a 1ST down","0.800099152249297","2021-11-06T00:00:00.000Z"
"401309914101867304","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","0","0","401309914","4013099142","2","2","1","13","26","3","3","55","45","1","10","false","4","Rush","Tyler Allgeier run for 4 yds to the IdaSt 41","-0.1162027181056828","2021-11-06T00:00:00.000Z"
"401309914101867305","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","0","0","401309914","4013099142","2","3","1","13","26","3","3","59","41","2","6","false","4","Rush","Tyler Allgeier run for 4 yds to the IdaSt 37","-0.1251929828379268","2021-11-06T00:00:00.000Z"
"401309914101867306","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","0","0","401309914","4013099142","2","4","1","13","26","3","3","63","37","3","2","false","8","Rush","Jaren Hall run for 8 yds to the IdaSt 29 for a 1ST down","0.9296086014125656","2021-11-06T19:41:57.000Z"
"401309914101867307","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","0","0","401309914","4013099142","2","5","1","13","26","3","3","71","29","1","10","false","10","Pass Reception","Jaren Hall pass complete to Samson Nacua for 10 yds to the IdaSt 19 for a 1ST down","0.183853555960589","2021-11-06T19:42:43.000Z"
"401309914101867308","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","0","0","401309914","4013099142","2","6","1","13","26","3","3","81","19","1","10","false","0","Pass Incompletion","Jaren Hall pass incomplete to Samson Nacua","-0.362321296557512","2021-11-06T19:42:43.000Z"
"401309914101867309","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","0","0","401309914","4013099142","2","7","1","13","26","3","3","81","19","2","10","false","4","Rush","Lopini Katoa run for 4 yds to the IdaSt 15","-0.045620266835931","2021-11-06T19:42:43.000Z"
"401309914101867310","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","0","0","401309914","4013099142","2","8","1","13","26","3","3","85","15","3","6","false","4","Pass Reception","Jaren Hall pass complete to Neil Pau'u for 4 yds to the IdaSt 11","-0.0511246781023615","2021-11-06T19:42:43.000Z"
"401309914101906101","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","7","0","401309914","4013099142","2","9","1","9","38","3","3","89","11","4","2","true","11","Rushing Touchdown","Tyler Allgeier run for 11 yds for a TD, (Jake Oldroyd KICK)","3.0635138701333275","2021-11-06T19:41:57.000Z"
"401309914101906103","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","0","0","401309914","4013099142","2","10","1","9","38","2","3","35","65","1","10","false","0","Timeout","Timeout BYU, clock 09:38","",""
"401309914101906104","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","7","0","401309914","4013099143","3","1","1","9","38","2","3","35","65","1","10","false","0","Kickoff","Jake Oldroyd kickoff for 65 yds for a touchback","","2021-11-06T19:45:45.000Z"
"401309914101919603","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","7","0","401309914","4013099144","4","1","1","8","3","1","3","21","79","1","10","false","0","Timeout","Timeout BYU, clock 08:03","","2021-11-06T19:52:04.000Z"
"401309914101919604","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","7","0","401309914","4013099144","4","2","1","8","3","1","3","21","79","1","10","false","0","Pass Incompletion","Jaren Hall pass incomplete","-0.58561609761675902","2021-11-06T19:52:04.000Z"
"401309914101919605","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","7","0","401309914","4013099144","4","3","1","8","3","1","3","21","79","2","10","false","-10","Penalty","Allgeier,Tyler rush for 4 yards gain to the BYU25 (McGinnis,Jake) PENALTY BYU Holding 10 yards from BYU21 to BYU11. NO PLAY.","","2021-11-06T19:52:04.000Z"
"401309914101919607","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","7","0","401309914","4013099144","4","4","1","8","3","1","3","11","89","2","20","false","46","Pass Reception","Jaren Hall pass complete to Tyler Allgeier for 46 yds to the IdaSt 43 for a 1ST down","3.9748517681480147","2021-11-06T19:52:04.000Z"
"401309914101919608","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","7","0","401309914","4013099144","4","5","1","8","3","1","3","57","43","1","10","false","35","Pass Reception","Jaren Hall pass complete to Puka Nacua for 35 yds to the IdaSt 8 for a 1ST down","1.0327705192311622","2021-11-06T19:52:04.000Z"
"401309914101919609","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","7","0","401309914","4013099144","4","6","1","8","3","1","3","92","8","1","8","false","6","Pass Reception","Jaren Hall pass complete to Neil Pau'u for 6 yds to the IdaSt 2","0.251663043377469","2021-11-06T19:52:04.000Z"
"401309914101939601","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","14","0","401309914","4013099144","4","7","1","6","3","1","3","98","2","2","2","true","2","Passing Touchdown","Jaren Hall pass complete to Lopini Katoa for 2 yds for a TD","2.067936525322223","2021-11-06T19:41:57.000Z"
"401309914101939605","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","7","0","401309914","4013099144","4","8","1","6","3","0","3","35","65","1","10","false","0","Timeout","Timeout BYU, clock 06:03","",""
"401309914101939606","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","14","0","401309914","4013099145","5","1","1","6","3","0","3","35","65","1","10","false","0","Kickoff","Jake Oldroyd kickoff for 56 yds","","2021-11-06T19:58:42.000Z"
"401309914101944403","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","14","0","401309914","4013099146","6","1","1","5","55","0","3","94","6","1","6","false","0","Pass Incompletion","Jaren Hall pass incomplete to Isaac Rex","-0.476177221716661","2021-11-06T19:41:57.000Z"
"401309914101944404","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","14","0","401309914","4013099146","6","2","1","5","55","0","3","94","6","2","6","false","5","Rush","Tyler Allgeier run for 5 yds to the IdaSt 1","0.074668763602388","2021-11-06T20:04:37.000Z"
"401309914101947701","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","21","0","401309914","4013099146","6","3","1","5","22","0","3","99","1","3","1","true","1","Rushing Touchdown","Jaren Hall run for 1 yd for a TD, (Jake Oldroyd KICK)","2.45399822917955","2021-11-06T19:41:57.000Z"
"401309914101947703","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","21","0","401309914","4013099147","7","1","1","5","22","0","3","35","65","1","10","false","0","Kickoff","Jake Oldroyd kickoff for 61 yds","","2021-11-06T20:06:06.000Z"
"401309914101966003","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","21","0","401309914","4013099148","8","1","1","3","39","0","3","27","73","1","10","false","10","Rush","Samson Nacua run for 10 yds to the BYU 37 for a 1ST down","0.8822046406441864","2021-11-06T19:41:57.000Z"
"401309914101966004","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","21","0","401309914","4013099148","8","2","1","3","39","0","3","37","63","1","10","false","9","Pass Reception","Jaren Hall pass complete to Puka Nacua for 9 yds to the BYU 46","1.3755540761931897","2021-11-06T19:41:57.000Z"
"401309914101966005","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","21","0","401309914","4013099148","8","3","1","3","39","0","3","46","54","2","1","false","0","Pass Incompletion","Jaren Hall pass incomplete to Keanu Hill","-1.4311542896008991","2021-11-06T19:41:57.000Z"
"401309914101966006","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","21","0","401309914","4013099148","8","4","1","3","39","0","3","46","54","3","1","false","2","Rush","Tyler Allgeier run for 2 yds to the BYU 48 for a 1ST down","1.0980567182750286","2021-11-06T19:41:57.000Z"
"401309914101966007","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","21","0","401309914","4013099148","8","5","1","3","39","0","3","48","52","1","10","false","9","Rush","Tyler Allgeier run for 9 yds to the IdaSt 43","1.150899831387264","2021-11-06T19:41:57.000Z"
"401309914101966008","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","21","0","401309914","4013099148","8","6","1","3","39","0","3","57","43","2","1","false","9","Pass Reception","Jaren Hall pass complete to Neil Pau'u for 9 yds to the IdaSt 34 for a 1ST down","-0.079571703590503","2021-11-06T19:41:57.000Z"
"401309914101966009","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","21","0","401309914","4013099148","8","7","1","3","39","0","3","66","34","1","10","false","-1","Sack","Jaren Hall sacked by Will Vea for a loss of 1 yard to the IdaSt 35","-0.83111511535939","2021-11-06T19:41:57.000Z"
"401309914101966010","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","21","0","401309914","4013099148","8","8","1","3","39","0","3","65","35","2","11","false","8","Pass Reception","Jaren Hall pass complete to Samson Nacua for 8 yds to the IdaSt 27","0.544902596030024","2021-11-06T19:41:57.000Z"
"401309914101999901","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","21","0","401309914","4013099148","8","9","1","0","0","0","3","73","27","3","3","false","4","Rush","Lopini Katoa run for 4 yds to the IdaSt 23 for a 1ST down","0.5589610021718075","2021-11-06T19:41:57.000Z"
"401309914101999902","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","21","0","401309914","4013099148","8","10","1","0","0","0","3","73","27","0","3","false","0","End Period","End of 1st Quarter","","2021-11-06T19:41:57.000Z"
"401309914102849902","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","21","0","401309914","4013099148","8","11","2","15","0","0","3","77","23","1","10","false","8","Pass Reception","Jaren Hall pass complete to Puka Nacua for 8 yds to the IdaSt 15","0.4686479074717325","2021-11-06T00:00:00.000Z"
"401309914102849903","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","21","0","401309914","4013099148","8","12","2","15","0","0","3","85","15","2","2","false","-5","Penalty","PENALTY BYU False Start (Freeland,Blake) 5 yards from ISU15 to ISU20. NO PLAY.","","2021-11-06T20:19:16.000Z"
"401309914102849905","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","21","0","401309914","4013099148","8","13","2","15","0","0","3","80","20","2","7","false","2","Rush","Samson Nacua run for 2 yds to the IdaSt 18","-0.2424605574657793","2021-11-06T20:19:16.000Z"
"401309914102849906","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","21","0","401309914","4013099148","8","14","2","15","0","0","3","82","18","3","5","false","5","Rush","Jaren Hall run for 5 yds to the IdaSt 13 for a 1ST down","0.4983200312310693","2021-11-06T20:19:16.000Z"
"401309914102867001","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","28","0","401309914","4013099148","8","15","2","13","29","0","3","87","13","1","10","true","13","Passing Touchdown","Jaren Hall pass complete to Keanu Hill for 13 yds for a TD, (Jake Oldroyd KICK)","2.538929215045847","2021-11-06T20:21:43.000Z"
"401309914102867003","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","28","0","401309914","4013099149","9","1","2","13","29","0","3","35","65","1","10","false","0","Kickoff","Jake Oldroyd kickoff for 65 yds for a touchback","","2021-11-06T20:23:26.000Z"
"401309914102898704","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","28","0","401309914","40130991410","10","1","2","10","12","-1","3","8","92","1","10","false","0","Timeout","Timeout BYU, clock 10:12","","2021-11-06T20:32:08.000Z"
"401309914102898705","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","28","0","401309914","40130991410","10","2","2","10","12","-1","3","8","92","1","10","false","4","Rush","Lopini Katoa run for 4 yds to the BYU 12","-0.04199996337451673","2021-11-06T20:32:08.000Z"
"401309914102898706","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","28","0","401309914","40130991410","10","3","2","10","12","-1","3","12","88","2","6","false","6","Pass Reception","Jaren Hall pass complete to Neil Pau'u for 6 yds to the BYU 18 for a 1ST down","0.40240698827267263","2021-11-06T20:32:08.000Z"
"401309914102898707","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","28","0","401309914","40130991410","10","4","2","10","12","-1","3","18","82","1","10","false","14","Pass Reception","Jaren Hall pass complete to Dallin Holker for 14 yds to the BYU 32 for a 1ST down","0.9689875336509912","2021-11-06T20:32:08.000Z"
"401309914102898708","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","28","0","401309914","40130991410","10","5","2","10","12","-1","3","32","68","1","10","false","3","Pass Reception","Jaren Hall pass complete to Puka Nacua for 3 yds to the BYU 35","-0.3783931239488095","2021-11-06T20:32:08.000Z"
"401309914102898709","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","28","0","401309914","40130991410","10","6","2","10","12","-1","3","35","65","2","7","false","42","Pass Reception","Jaren Hall pass complete to Puka Nacua for 42 yds to the IdaSt 23 for a 1ST down","3.2337261615194405","2021-11-06T20:32:08.000Z"
"401309914102926601","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","35","0","401309914","40130991410","10","7","2","7","33","-1","3","77","23","1","10","true","23","Passing Touchdown","Jaren Hall pass complete to Puka Nacua for 23 yds for a TD, (Jake Oldroyd KICK)","2.6639776780712285","2021-11-06T20:19:16.000Z"
"401309914102926603","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","28","0","401309914","40130991410","10","8","2","7","33","-2","3","35","65","1","10","false","0","Timeout","Timeout BYU, clock 07:33","",""
"401309914102926604","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","35","0","401309914","40130991411","11","1","2","7","33","-2","3","35","65","1","10","false","0","Kickoff","Jake Oldroyd kickoff for 65 yds for a touchback","","2021-11-06T20:36:12.000Z"
"401309914102969304","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","35","0","401309914","40130991412","12","1","2","3","6","-3","3","15","85","1","10","false","0","Timeout","Timeout BYU, clock 03:06","","2021-11-06T20:19:16.000Z"
"401309914102969305","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","35","0","401309914","40130991412","12","2","2","3","6","-3","3","15","85","1","10","false","4","Rush","Lopini Katoa run for 4 yds to the BYU 19","-0.0658646968869041","2021-11-06T20:19:16.000Z"
"401309914102977301","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","35","0","401309914","40130991412","12","3","2","2","26","-3","3","19","81","2","6","false","2","Rush","Lopini Katoa run for 2 yds to the BYU 17","-0.26388772709601137","2021-11-06T20:19:16.000Z"
"401309914102987905","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","35","7","401309914","40130991414","14","2","2","1","20","-3","3","25","75","1","10","false","20","Rush","Neil Pau'u run for 20 yds to the BYU 45 for a 1ST down","1.8011418824049565","2021-11-06T20:53:06.000Z"
"401309914102987906","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","35","7","401309914","40130991414","14","3","2","1","20","-3","3","45","55","1","10","false","10","Pass Reception","Jaren Hall pass complete to Samson Nacua for 10 yds to the IdaSt 45 for a 1ST down","0.800099152249297","2021-11-06T20:53:06.000Z"
"401309914102987907","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","35","7","401309914","40130991414","14","4","2","1","20","-3","3","55","45","1","10","false","0","Pass Incompletion","Jaren Hall pass incomplete to Lopini Katoa","-0.997770018980635","2021-11-06T20:53:06.000Z"
"401309914102987908","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","35","7","401309914","40130991414","14","5","2","1","20","-3","3","55","45","2","10","false","5","Rush","Jackson McChesney run for 5 yds to the IdaSt 40","0.072240810600290","2021-11-06T20:53:06.000Z"
"401309914102996201","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","35","7","401309914","40130991414","14","6","2","0","37","-4","3","55","45","2","10","false","0","Timeout","Timeout BYU, clock 00:37","","2021-11-06T20:19:16.000Z"
"401309914102996202","BYU","FBS Independents","Idaho State","Big Sky","BYU","Idaho State","35","7","401309914","40130991414","14","7","2","0","37","-4","3","60","40","3","5","false","27","Pass Reception","Jaren Hall pass complete to Keanu Hill for 27 yds to the IdaSt 13 for a 1ST down","1.863114078401566","2021-11-06T20:19:16.000Z"
