"Id","Offense","Offense Conference","Defense","Defense Conference","Home","Away","Offense Score","Defense Score","Game Id","Drive Id","Drive Number","Play Number","Period","Clock Minutes","Clock Seconds","Offense Timeouts","Defense Timeouts","Yard Line","Yards To Goal","Down","Distance","Scoring","Yards Gained","Play Type","Play Text","Ppa","Wallclock"
"401404062101854001","BYU","FBS Independents","Baylor","Big 12","BYU","Baylor","0","0","401404062","4014040621","1","2","1","14","59","3","3","25","75","1","10","false","9","Pass Reception","Jaren Hall pass complete to Kody Epps for 9 yds to the BYU 34","1.2523083597886239","2022-09-11T02:26:39.000Z"
"401404062101856701","BYU","FBS Independents","Baylor","Big 12","BYU","Baylor","0","0","401404062","4014040621","1","3","1","14","32","3","3","34","66","2","1","false","7","Rush","Jaren Hall run for 7 yds to the BYU 41 for a 1ST down","0.1664344101342703","2022-09-11T02:27:07.000Z"
"401404062101864001","BYU","FBS Independents","Baylor","Big 12","BYU","Baylor","0","0","401404062","4014040621","1","4","1","13","59","3","3","41","59","1","10","false","1","Rush","Christopher Brooks run for 1 yd to the BYU 42","-0.9199637917398017","2022-09-11T02:27:54.000Z"
"401404062101866901","BYU","FBS Independents","Baylor","Big 12","BYU","Baylor","0","0","401404062","4014040621","1","5","1","13","30","3","3","42","58","2","9","false","14","Pass Reception","Jaren Hall pass complete to Chase Roberts for 14 yds to the Bayl 44 for a 1ST down","2.1660937840282077","2022-09-11T02:28:29.000Z"
"401404062101868601","BYU","FBS Independents","Baylor","Big 12","BYU","Baylor","0","0","401404062","4014040621","1","6","1","13","13","3","3","56","44","1","10","false","0","Pass Incompletion","Jaren Hall pass incomplete to Chase Roberts","-0.9690270974076257","2022-09-11T02:28:41.000Z"
"401404062101869301","BYU","FBS Independents","Baylor","Big 12","BYU","Baylor","0","0","401404062","4014040621","1","7","1","13","6","3","3","56","44","2","10","false","12","Pass Reception","Jaren Hall pass complete to Lopini Katoa for 12 yds to the Bayl 32 for a 1ST down","1.5103900293286846","2022-09-11T02:29:31.000Z"
"401404062101875501","BYU","FBS Independents","Baylor","Big 12","BYU","Baylor","0","0","401404062","4014040621","1","8","1","12","44","3","3","68","32","1","10","false","21","Pass Reception","Jaren Hall pass complete to Keanu Hill for 21 yds to the Bayl 11 for a 1ST down","0.3497800122210374","2022-09-11T02:30:22.000Z"
"401404062101877801","BYU","FBS Independents","Baylor","Big 12","BYU","Baylor","0","0","401404062","4014040621","1","9","1","12","21","3","3","89","11","1","10","false","0","Pass Incompletion","Jaren Hall pass incomplete to Chase Roberts","-0.291297448934314","2022-09-11T02:30:33.000Z"
"401404062101878301","BYU","FBS Independents","Baylor","Big 12","BYU","Baylor","0","0","401404062","4014040621","1","10","1","12","16","3","3","89","11","2","10","false","0","Pass Incompletion","Jaren Hall pass incomplete to Isaac Rex","-0.293579166082473","2022-09-11T02:31:15.000Z"
"401404062101879101","BYU","FBS Independents","Baylor","Big 12","BYU","Baylor","0","0","401404062","4014040621","1","11","1","12","8","3","3","89","11","3","10","false","1","Rush","Jaren Hall run for 1 yd to the Bayl 10","-0.3422998457535657","2022-09-11T02:31:49.000Z"
"401404062101886801","BYU","FBS Independents","Baylor","Big 12","BYU","Baylor","3","0","401404062","4014040621","1","12","1","11","31","3","3","90","10","4","9","true","27","Field Goal Good","Jake Oldroyd 27 Yd Field Goal ","","2022-09-11T02:32:34.000Z"
"401404062101886802","BYU","FBS Independents","Baylor","Big 12","BYU","Baylor","3","0","401404062","4014040622","2","1","1","11","31","3","3","35","65","4","9","false","0","Kickoff","Jake Oldroyd kickoff for 65 yds for a touchback","","2022-09-11T02:32:34.000Z"
"401404062101917601","BYU","FBS Independents","Baylor","Big 12","BYU","Baylor","3","0","401404062","4014040623","3","1","1","8","23","3","3","10","90","1","10","false","4","Rush","Christopher Brooks run for 4 yds to the BYU 14","-0.04789648957461967","2022-09-11T02:43:00.000Z"
"401404062101925501","BYU","FBS Independents","Baylor","Big 12","BYU","Baylor","3","0","401404062","4014040623","3","2","1","7","44","3","3","14","86","2","6","false","0","Rush","Christopher Brooks run for no gain to the BYU 14","-0.32344881042402917","2022-09-11T02:43:35.000Z"
"401404062101928701","BYU","FBS Independents","Baylor","Big 12","BYU","Baylor","3","0","401404062","4014040623","3","3","1","7","12","3","3","14","86","3","6","false","2","Pass Reception","Jaren Hall pass complete to Brayden Cosper for 2 yds to the BYU 16","-0.09146886013244338","2022-09-11T02:44:32.000Z"
