"Id","Offense","Offense Conference","Defense","Defense Conference","Home","Away","Offense Score","Defense Score","Game Id","Drive Id","Drive Number","Play Number","Period","Clock Minutes","Clock Seconds","Offense Timeouts","Defense Timeouts","Yard Line","Yards To Goal","Down","Distance","Scoring","Yards Gained","Play Type","Play Text","Ppa","Wallclock"
"401282669101849902","BYU","FBS Independents","Virginia","ACC","BYU","Virginia","0","0","401282669","4012826691","1","1","1","15","0","3","3","35","65","1","10","false","0","Kickoff","Jake Oldroyd kickoff for 65 yds for a touchback","","2021-10-31T02:25:45.000Z"
"401282669101865401","BYU","FBS Independents","Virginia","ACC","BYU","Virginia","0","0","401282669","4012826692","2","1","1","13","45","3","3","17","83","1","10","false","52","Pass Reception","Jaren Hall pass complete to Samson Nacua for 52 yds to the Virg 31 for a 1ST down","3.6932364124787094","2021-10-31T02:30:23.000Z"
"401282669101867901","BYU","FBS Independents","Virginia","ACC","BYU","Virginia","0","0","401282669","4012826692","2","2","1","13","20","3","3","69","31","1","10","false","14","Pass Reception","Jaren Hall pass complete to Puka Nacua for 14 yds to the Virg 17 for a 1ST down","0.262043067288534","2021-10-31T02:30:56.000Z"
"401282669101867902","BYU","FBS Independents","Virginia","ACC","BYU","Virginia","0","0","401282669","4012826692","2","3","1","13","20","3","3","83","17","1","10","false","15","Pass Reception","Jaren Hall pass complete to Samson Nacua for 15 yds to the Virg 2 for a 1ST down","1.366667805112316","2021-10-31T02:30:56.000Z"
"401282669101875601","BYU","FBS Independents","Virginia","ACC","BYU","Virginia","7","0","401282669","4012826692","2","4","1","12","43","3","3","98","2","1","2","true","2","Rushing Touchdown","Jaren Hall run for 2 yds for a TD, (Jake Oldroyd KICK)","1.213235297672098","2021-10-31T02:31:52.000Z"
"401282669101875603","BYU","FBS Independents","Virginia","ACC","BYU","Virginia","7","0","401282669","4012826693","3","1","1","12","43","3","3","35","65","1","10","false","0","Kickoff","Jake Oldroyd kickoff for 65 yds for a touchback","","2021-10-31T02:31:52.000Z"
"401282669101877001","BYU","FBS Independents","Virginia","ACC","BYU","Virginia","7","0","401282669","4012826694","4","1","1","12","29","3","3","89","11","1","10","false","0","Pass Incompletion","Jaren Hall pass incomplete","-0.291297448934314","2021-10-31T02:34:48.000Z"
"401282669101878901","BYU","FBS Independents","Virginia","ACC","BYU","Virginia","7","0","401282669","4012826694","4","2","1","12","10","3","3","89","11","2","10","false","2","Rush","Tyler Allgeier run for 2 yds to the Virg 9","-0.153951411495747","2021-10-31T02:35:25.000Z"
"401282669101884401","BYU","FBS Independents","Virginia","ACC","BYU","Virginia","7","0","401282669","4012826694","4","3","1","11","55","3","3","91","9","3","8","false","8","Rush","Jaren Hall run for 8 yds to the Virg 1 for a 1ST down","2.028966998677543","2021-10-31T02:36:08.000Z"
"401282669101888301","BYU","FBS Independents","Virginia","ACC","BYU","Virginia","14","0","401282669","4012826694","4","4","1","11","16","3","3","99","1","1","1","true","1","Rushing Touchdown","Tyler Allgeier run for 1 yd for a TD, (Jake Oldroyd KICK)","0.938021275120443","2021-10-31T02:36:59.000Z"
"401282669101888303","BYU","FBS Independents","Virginia","ACC","BYU","Virginia","14","0","401282669","4012826695","5","1","1","11","16","3","3","35","65","1","10","false","0","Kickoff","Jake Oldroyd kickoff for 65 yds for a touchback","","2021-10-31T02:36:59.000Z"
"401282669101907301","BYU","FBS Independents","Virginia","ACC","BYU","Virginia","14","0","401282669","4012826696","6","1","1","9","26","3","3","26","74","1","10","false","11","Pass Reception","Jaren Hall pass complete to Tyler Allgeier for 11 yds to the BYU 37 for a 1ST down","0.9562655188832157","2021-10-31T02:42:07.000Z"
"401282669101909701","BYU","FBS Independents","Virginia","ACC","BYU","Virginia","14","0","401282669","4012826696","6","2","1","9","2","3","3","37","63","1","10","false","8","Rush","Tyler Allgeier run for 8 yds to the BYU 45","1.0359877217814512","2021-10-31T02:42:29.000Z"
"401282669101916801","BYU","FBS Independents","Virginia","ACC","BYU","Virginia","14","0","401282669","4012826696","6","3","1","8","31","3","3","45","55","2","2","false","12","Rush","Tyler Allgeier run for 12 yds to the Virg 43 for a 1ST down","0.6621529838654448","2021-10-31T02:43:06.000Z"
"401282669101918701","BYU","FBS Independents","Virginia","ACC","BYU","Virginia","14","0","401282669","4012826696","6","4","1","8","12","3","3","57","43","1","10","false","17","Pass Reception","Jaren Hall pass complete to Keanu Hill for 17 yds to the Virg 26 for a 1ST down","0.6323679655226737","2021-10-31T02:43:30.000Z"
"401282669101919501","BYU","FBS Independents","Virginia","ACC","BYU","Virginia","21","0","401282669","4012826696","6","5","1","8","4","3","3","74","26","1","10","true","26","Passing Touchdown","Jaren Hall pass complete to Puka Nacua for 26 yds for a TD, (Jake Oldroyd KICK)","2.7200021224081805","2021-10-31T02:44:13.000Z"
"401282669101919503","BYU","FBS Independents","Virginia","ACC","BYU","Virginia","21","0","401282669","4012826697","7","1","1","8","4","3","3","35","65","1","10","false","0","Kickoff","Jake Oldroyd kickoff for 65 yds for a touchback","","2021-10-31T02:44:13.000Z"
"401282669101968901","BYU","FBS Independents","Virginia","ACC","BYU","Virginia","21","7","401282669","4012826698","8","2","1","3","10","3","3","25","75","1","10","false","14","Pass Reception","Jaren Hall pass complete to Neil Pau'u for 14 yds to the BYU 39 for a 1ST down","1.2227390832564555","2021-10-31T03:01:04.000Z"
"401282669101975401","BYU","FBS Independents","Virginia","ACC","BYU","Virginia","21","7","401282669","4012826698","8","3","1","2","45","3","3","39","61","1","10","false","11","Pass Reception","Jaren Hall pass complete to Puka Nacua for 11 yds to the 50 yard line for a 1ST down","1.013604104343493","2021-10-31T03:01:17.000Z"
"401282669101977901","BYU","FBS Independents","Virginia","ACC","BYU","Virginia","21","7","401282669","4012826698","8","4","1","2","20","3","3","50","50","1","10","false","6","Rush","Tyler Allgeier run for 6 yds to the Virg 44","0.345257937612164","2021-10-31T03:01:38.000Z"
"401282669101979501","BYU","FBS Independents","Virginia","ACC","BYU","Virginia","21","7","401282669","4012826698","8","5","1","2","4","3","3","56","44","2","4","false","5","Rush","Tyler Allgeier run for 5 yds to the Virg 39 for a 1ST down","0.355715439577658","2021-10-31T03:01:47.000Z"
"401282669101986301","BYU","FBS Independents","Virginia","ACC","BYU","Virginia","21","7","401282669","4012826698","8","6","1","1","36","3","3","61","39","1","10","false","5","Penalty","VIRGINIA Penalty, Defensive Offside (5 Yards) to the Virg 34","","2021-10-31T03:02:39.000Z"
