"Id","Offense","Offense Conference","Defense","Defense Conference","Home","Away","Offense Score","Defense Score","Game Id","Drive Id","Drive Number","Play Number","Period","Clock Minutes","Clock Seconds","Offense Timeouts","Defense Timeouts","Yard Line","Yards To Goal","Down","Distance","Scoring","Yards Gained","Play Type","Play Text","Ppa","Wallclock"
"401309848101854501","BYU","FBS Independents","Utah","Pac-12","BYU","Utah","0","0","401309848","4013098481","1","2","1","14","54","3","3","25","75","1","10","false","5","Pass Reception","Jaren Hall pass complete to Tyler Allgeier for 5 yds to the BYU 30","0.0945451165334843","2021-09-12T02:27:01.000Z"
"401309848101858101","BYU","FBS Independents","Utah","Pac-12","BYU","Utah","0","0","401309848","4013098481","1","3","1","14","18","3","3","30","70","2","5","false","3","Rush","Tyler Allgeier run for 3 yds to the BYU 33","-0.3141325711590933","2021-09-12T02:27:27.000Z"
"401309848101865401","BYU","FBS Independents","Utah","Pac-12","BYU","Utah","0","0","401309848","4013098481","1","4","1","13","45","3","3","33","67","3","2","false","-1","Pass Reception","Jaren Hall pass complete to Neil Pau'u for a loss of 1 yard to the BYU 32","-0.683510219890869974","2021-09-12T02:27:49.000Z"
"401309848101868101","BYU","FBS Independents","Utah","Pac-12","BYU","Utah","0","0","401309848","4013098481","1","5","1","13","18","3","3","32","68","4","3","false","0","Punt","Ryan Rehkow punt for 68 yds for a touchback","","2021-09-12T02:28:22.000Z"
"401309848101885801","BYU","FBS Independents","Utah","Pac-12","BYU","Utah","0","0","401309848","4013098483","3","1","1","11","41","3","3","70","30","1","10","false","0","Pass Incompletion","Jaren Hall pass incomplete to Neil Pau'u","-0.557844891990525","2021-09-12T02:32:33.000Z"
"401309848101887901","BYU","FBS Independents","Utah","Pac-12","BYU","Utah","0","0","401309848","4013098483","3","2","1","11","20","3","3","70","30","2","10","false","-7","Fumble Recovery (Own)","Tyler Allgeier run for a loss of 7 yards to the Utah 37 Tyler Allgeier fumbled, recovered by BYU","-2.2204839024952197","2021-09-12T02:33:38.000Z"
"401309848101889301","BYU","FBS Independents","Utah","Pac-12","BYU","Utah","0","0","401309848","4013098483","3","3","1","11","6","3","3","63","37","3","17","false","0","Pass Incompletion","Jaren Hall pass incomplete to Tyler Allgeier","-0.8297805709287491","2021-09-12T02:33:48.000Z"
"401309848101894201","BYU","FBS Independents","Utah","Pac-12","BYU","Utah","0","0","401309848","4013098483","3","4","1","10","57","3","3","63","37","4","17","false","0","Punt","Ryan Rehkow punt for 35 yds, downed at the Utah 2","","2021-09-12T02:34:51.000Z"
"401309848101934401","BYU","FBS Independents","Utah","Pac-12","BYU","Utah","0","0","401309848","4013098485","5","1","1","6","55","3","3","58","42","1","10","false","1","Rush","Lopini Katoa run for 1 yd to the Utah 41","-0.6970479149495327","2021-09-12T02:46:40.000Z"
"401309848101937901","BYU","FBS Independents","Utah","Pac-12","BYU","Utah","0","0","401309848","4013098485","5","2","1","6","20","3","3","59","41","2","9","false","8","Pass Reception","Jaren Hall pass complete to Samson Nacua for 8 yds to the Utah 33","0.6889245322811987","2021-09-12T02:47:37.000Z"
