"Id","Offense","Offense Conference","Defense","Defense Conference","Home","Away","Offense Score","Defense Score","Game Id","Drive Id","Drive Number","Play Number","Period","Clock Minutes","Clock Seconds","Offense Timeouts","Defense Timeouts","Yard Line","Yards To Goal","Down","Distance","Scoring","Yards Gained","Play Type","Play Text","Ppa","Wallclock"
"401415226101849902","BYU","FBS Independents","Utah State","Mountain West","BYU","Utah State","0","0","401415226","4014152261","1","1","1","15","0","3","3","35","65","1","10","false","0","Kickoff","Jake Oldroyd kickoff for 65 yds for a touchback","","2022-09-30T00:05:53.000Z"
"401415226101897501","BYU","FBS Independents","Utah State","Mountain West","BYU","Utah State","0","7","401415226","4014152262","2","2","1","10","24","3","3","35","65","1","10","false","34","Pass Reception","Jaren Hall pass complete to Gunner Romney for 34 yds to the UthSt 31 for a 1ST down","2.4007708406183868","2022-09-30T00:05:53.000Z"
"401415226101904301","BYU","FBS Independents","Utah State","Mountain West","BYU","Utah State","7","7","401415226","4014152262","2","3","1","9","56","3","3","69","31","1","10","true","31","Passing Touchdown","Jaren Hall pass complete to Keanu Hill for 31 yds for a TD, (Jake Oldroyd KICK)","2.841946170072948","2022-09-30T00:21:49.000Z"
"401415226101904303","BYU","FBS Independents","Utah State","Mountain West","BYU","Utah State","7","7","401415226","4014152263","3","1","1","9","56","3","3","35","65","1","10","false","0","Kickoff","Jake Oldroyd kickoff for 65 yds for a touchback","","2022-09-30T00:21:49.000Z"
"401415226101916403","BYU","FBS Independents","Utah State","Mountain West","BYU","Utah State","14","7","401415226","4014152264","4","1","1","8","35","3","3","35","65","1","10","false","0","Kickoff","Jake Oldroyd kickoff for 65 yds for a touchback","","2022-09-30T00:30:23.000Z"
"401415226101957901","BYU","FBS Independents","Utah State","Mountain West","BYU","Utah State","14","7","401415226","4014152265","5","1","1","4","20","3","3","11","89","1","10","false","0","Pass Incompletion","Jaren Hall pass incomplete to Gunner Romney","-0.36548578366266504","2022-09-30T00:43:31.000Z"
"401415226101958801","BYU","FBS Independents","Utah State","Mountain West","BYU","Utah State","14","7","401415226","4014152265","5","2","1","4","11","3","3","11","89","2","10","false","0","Pass Incompletion","Jaren Hall pass incomplete to Kody Epps","-0.16041602870877192","2022-09-30T00:43:57.000Z"
"401415226101959001","BYU","FBS Independents","Utah State","Mountain West","BYU","Utah State","14","7","401415226","4014152265","5","3","1","4","9","3","3","11","89","3","10","false","0","Pass Incompletion","Jaren Hall pass incomplete","-0.06906703968561523","2022-09-30T00:44:09.000Z"
"401415226101964401","BYU","FBS Independents","Utah State","Mountain West","BYU","Utah State","14","7","401415226","4014152265","5","4","1","3","55","3","3","11","89","4","10","false","4","Punt","Ryan Rehkow punt for 45 yds , Cooper Jones returns for 4 yds to the UthSt 48 UTAH ST Penalty, Illegal Block (Kyrese Rowan) to the UthSt 40","","2022-09-30T00:46:29.000Z"
"401415226102857901","BYU","FBS Independents","Utah State","Mountain West","BYU","Utah State","14","7","401415226","4014152267","7","1","2","14","20","3","3","12","88","1","10","false","-5","Rush","Lopini Katoa run for a loss of 5 yards to the BYU 7 Lopini Katoa fumbled, recovered by BYU","-0.56245092073280300","2022-09-30T01:01:01.000Z"
"401415226102859901","BYU","FBS Independents","Utah State","Mountain West","BYU","Utah State","14","7","401415226","4014152267","7","2","2","14","0","3","3","7","93","2","15","false","0","Rush","Lopini Katoa run for no gain to the BYU 7","-0.06647033215778820","2022-09-30T01:01:15.000Z"
"401415226102868101","BYU","FBS Independents","Utah State","Mountain West","BYU","Utah State","14","7","401415226","4014152267","7","3","2","13","18","3","3","7","93","3","15","false","-2","Pass Reception","Jaren Hall pass complete to Gunner Romney for a loss of 2 yards to the BYU 5","-0.03511024123501106","2022-09-30T01:02:01.000Z"
"401415226102877301","BYU","FBS Independents","Utah State","Mountain West","BYU","Utah State","14","7","401415226","4014152267","7","4","2","12","26","3","3","5","95","4","17","false","18","Punt","Ryan Rehkow punt for 42 yds , Cooper Jones returns for 18 yds to the BYU 29","","2022-09-30T01:03:11.000Z"
"401415226102909202","BYU","FBS Independents","Utah State","Mountain West","BYU","Utah State","14","10","401415226","4014152269","9","2","2","9","7","3","2","17","83","1","10","false","9","Pass Reception","Jaren Hall pass complete to Kody Epps for 9 yds to the BYU 26","1.0230852361544169","2022-09-30T01:17:45.000Z"
"401415226102917401","BYU","FBS Independents","Utah State","Mountain West","BYU","Utah State","14","10","401415226","4014152269","9","3","2","8","25","3","2","26","74","2","1","false","-9","Sack","Jaren Hall sacked by MJ Tafisi for a loss of 9 yards to the BYU 17","-1.72793139206656573","2022-09-30T01:18:34.000Z"
"401415226102924901","BYU","FBS Independents","Utah State","Mountain West","BYU","Utah State","14","10","401415226","4014152269","9","4","2","7","50","3","2","17","83","3","10","false","-2","Rush","Christopher Brooks run for a loss of 2 yards to the BYU 15","-0.11935439003657147","2022-09-30T01:19:01.000Z"
"401415226102928601","BYU","FBS Independents","Utah State","Mountain West","BYU","Utah State","14","10","401415226","4014152269","9","5","2","7","13","3","2","15","85","4","12","false","3","Punt","Ryan Rehkow punt for 45 yds , Cooper Jones returns for 3 yds to the UthSt 43","","2022-09-30T01:19:50.000Z"
"401415226102954901","BYU","FBS Independents","Utah State","Mountain West","BYU","Utah State","14","17","401415226","40141522611","11","2","2","4","50","3","2","25","75","1","10","false","6","Pass Reception","Jaren Hall pass complete to Brayden Cosper for 6 yds to the BYU 31","0.3333748010525683","2022-09-30T01:31:04.000Z"
"401415226102957201","BYU","FBS Independents","Utah State","Mountain West","BYU","Utah State","14","17","401415226","40141522611","11","3","2","4","27","3","2","31","69","2","4","false","2","Rush","Miles Davis run for 2 yds to the BYU 33","-0.5529622556781773","2022-09-30T01:31:32.000Z"
"401415226102964601","BYU","FBS Independents","Utah State","Mountain West","BYU","Utah State","14","17","401415226","40141522611","11","4","2","3","53","3","2","33","67","3","2","false","10","Pass Reception","Jaren Hall pass complete to Brayden Cosper for 10 yds to the BYU 43 for a 1ST down","1.8320258768356040","2022-09-30T01:32:05.000Z"
"401415226102965401","BYU","FBS Independents","Utah State","Mountain West","BYU","Utah State","14","17","401415226","40141522611","11","5","2","3","45","3","2","43","57","1","10","false","40","Pass Reception","Jaren Hall pass complete to Brayden Cosper for 40 yds to the UthSt 17 for a 1ST down","1.8854135947269125","2022-09-30T01:32:58.000Z"
"401415226102967401","BYU","FBS Independents","Utah State","Mountain West","BYU","Utah State","14","17","401415226","40141522611","11","6","2","3","25","3","2","83","17","1","10","false","0","Pass Incompletion","Jaren Hall pass incomplete","-0.340019558909725","2022-09-30T01:33:27.000Z"
"401415226102968101","BYU","FBS Independents","Utah State","Mountain West","BYU","Utah State","14","17","401415226","40141522611","11","7","2","3","18","3","2","83","17","2","10","false","0","Pass Incompletion","Jaren Hall pass incomplete to Gunner Romney","-0.4016550456030307","2022-09-30T01:33:46.000Z"
"401415226102968102","BYU","FBS Independents","Utah State","Mountain West","BYU","Utah State","14","17","401415226","40141522611","11","8","2","3","18","3","2","83","17","3","10","false","-5","Penalty","BYU Penalty, False Start (Clark Barrington) to the UthSt 22","","2022-09-30T01:33:46.000Z"
"401415226102974901","BYU","FBS Independents","Utah State","Mountain West","BYU","Utah State","14","17","401415226","40141522611","11","9","2","2","50","3","2","78","22","3","15","false","-6","Rush","Jaren Hall run for a loss of 6 yards to the UthSt 28","-2.1149411949639063","2022-09-30T01:35:16.000Z"
"401415226102976701","BYU","FBS Independents","Utah State","Mountain West","BYU","Utah State","17","17","401415226","40141522611","11","10","2","2","32","3","2","72","28","4","21","true","45","Field Goal Good","Jake Oldroyd 45 yd FG GOOD","","2022-09-30T01:36:09.000Z"
"401415226102976702","BYU","FBS Independents","Utah State","Mountain West","BYU","Utah State","17","17","401415226","40141522612","12","1","2","2","32","3","2","35","65","4","21","false","17","Kickoff Return (Offense)","Jake Oldroyd kickoff for 63 yds , Terrell Vaughn return for 17 yds to the UthSt 19","","2022-09-30T01:36:09.000Z"
"401415226102998701","BYU","FBS Independents","Utah State","Mountain West","BYU","Utah State","17","17","401415226","40141522613","13","1","2","0","12","3","1","20","80","1","10","false","-1","Rush","TEAM run for a loss of 1 yard to the BYU 19","-0.63433542657173268","2022-09-30T01:46:10.000Z"
"401415226102998702","BYU","FBS Independents","Utah State","Mountain West","BYU","Utah State","17","17","401415226","40141522613","13","2","2","0","0","3","1","20","80","0","10","false","0","End of Half","End of 2nd Quarter","","2022-09-30T01:46:10.000Z"
"401415226103856701","BYU","FBS Independents","Utah State","Mountain West","BYU","Utah State","17","17","401415226","40141522614","14","2","3","14","32","3","3","30","70","1","10","false","3","Rush","Miles Davis run for 3 yds to the BYU 33","-0.3563521541303736","2022-09-30T02:08:37.000Z"
"401415226103859001","BYU","FBS Independents","Utah State","Mountain West","BYU","Utah State","17","17","401415226","40141522614","14","3","3","14","9","3","3","33","67","2","7","false","14","Rush","Miles Davis run for 14 yds to the BYU 47 for a 1ST down","1.9538392394614093","2022-09-30T02:09:19.000Z"
