"Id","Offense","Offense Conference","Defense","Defense Conference","Home","Away","Offense Score","Defense Score","Game Id","Drive Id","Drive Number","Play Number","Period","Clock Minutes","Clock Seconds","Offense Timeouts","Defense Timeouts","Yard Line","Yards To Goal","Down","Distance","Scoring","Yards Gained","Play Type","Play Text","Ppa","Wallclock"
"401301009101854502","BYU","FBS Independents","South Florida","American Athletic","BYU","South Florida","0","0","401301009","4013010092","2","1","1","14","54","3","3","25","75","1","10","false","12","Rush","Tyler Allgeier run for 12 yds to the BYU 37 for a 1ST down","1.0272443261435713","2021-09-26T02:27:26.000Z"
"401301009101857901","BYU","FBS Independents","South Florida","American Athletic","BYU","South Florida","0","0","401301009","4013010092","2","2","1","14","20","3","3","37","63","1","10","false","49","Pass Reception","Baylor Romney pass complete to Gunner Romney for 49 yds to the SFla 14 for a 1ST down","2.5022276183986687","2021-09-26T02:28:05.000Z"
"401301009101864802","BYU","FBS Independents","South Florida","American Athletic","BYU","South Florida","0","0","401301009","4013010092","2","3","1","13","51","3","3","86","14","1","10","false","-5","Penalty","BYU Penalty, False Start (-5 Yards) to the SFla 19","","2021-09-26T02:28:34.000Z"
"401301009101867801","BYU","FBS Independents","South Florida","American Athletic","BYU","South Florida","0","0","401301009","4013010092","2","4","1","13","21","3","3","81","19","1","15","false","14","Rush","Tyler Allgeier run for 14 yds to the SFla 5","0.960032954711037","2021-09-26T02:30:14.000Z"
"401301009101869401","BYU","FBS Independents","South Florida","American Athletic","BYU","South Florida","7","0","401301009","4013010092","2","5","1","13","5","3","3","95","5","2","1","true","5","Passing Touchdown","Baylor Romney pass complete to Masen Wake for 5 yds for a TD, (Justen Smith KICK)","1.934515340308442","2021-09-26T02:30:31.000Z"
"401301009101869403","BYU","FBS Independents","South Florida","American Athletic","BYU","South Florida","7","0","401301009","4013010093","3","1","1","13","5","3","3","35","65","2","1","false","0","Kickoff","Justen Smith kickoff for 64 yds for a touchback","","2021-09-26T02:30:31.000Z"
"401301009101894701","BYU","FBS Independents","South Florida","American Athletic","BYU","South Florida","7","0","401301009","4013010095","5","1","1","10","52","3","3","35","65","1","10","false","55","Pass Reception","Baylor Romney pass complete to Puka Nacua for 55 yds to the SFla 10 for a 1ST down","2.7288901684418928","2021-09-26T02:37:37.000Z"
"401301009101895701","BYU","FBS Independents","South Florida","American Athletic","BYU","South Florida","7","0","401301009","4013010095","5","2","1","10","42","3","3","90","10","1","10","false","6","Rush","Lopini Katoa run for 6 yds to the SFla 4","0.1799366018014815","2021-09-26T02:38:01.000Z"
"401301009101897801","BYU","FBS Independents","South Florida","American Athletic","BYU","South Florida","7","0","401301009","4013010095","5","3","1","10","21","3","3","96","4","2","4","false","-1","Rush","Baylor Romney run for a loss of 1 yard to the SFla 5","-0.4277093887206295","2021-09-26T02:38:17.000Z"
"401301009101906201","BYU","FBS Independents","South Florida","American Athletic","BYU","South Florida","7","0","401301009","4013010095","5","4","1","9","37","3","3","95","5","3","5","false","4","Pass Reception","Baylor Romney pass complete to Masen Wake for 4 yds to the SFla 1","-0.024154345687511","2021-09-26T02:38:47.000Z"
"401301009101908301","BYU","FBS Independents","South Florida","American Athletic","BYU","South Florida","14","0","401301009","4013010095","5","5","1","9","16","3","3","99","1","4","1","true","1","Rushing Touchdown","Tyler Allgeier run for 1 yd for a TD, (Justen Smith KICK)","2.785753974856101","2021-09-26T02:41:10.000Z"
"401301009101908303","BYU","FBS Independents","South Florida","American Athletic","BYU","South Florida","14","0","401301009","4013010096","6","1","1","9","16","3","3","35","65","4","1","false","0","Kickoff","Justen Smith kickoff for 65 yds for a touchback","","2021-09-26T02:41:10.000Z"
"401301009101925201","BYU","FBS Independents","South Florida","American Athletic","BYU","South Florida","14","0","401301009","4013010097","7","1","1","7","47","3","3","66","34","1","10","false","0","Pass Incompletion","Baylor Romney pass incomplete to Neil Pau'u","-0.6630222646782312","2021-09-26T02:46:44.000Z"
"401301009101925901","BYU","FBS Independents","South Florida","American Athletic","BYU","South Florida","14","0","401301009","4013010097","7","2","1","7","40","3","3","66","34","2","10","false","4","Rush","Tyler Allgeier run for 4 yds to the SFla 30","-0.1121278119288398","2021-09-26T02:46:56.000Z"
"401301009101929501","BYU","FBS Independents","South Florida","American Athletic","BYU","South Florida","14","0","401301009","4013010097","7","3","1","7","4","3","3","70","30","3","6","false","7","Rush","Baylor Romney run for 7 yds to the SFla 23 for a 1ST down","1.0478985594495125","2021-09-26T02:47:33.000Z"
"401301009101937501","BYU","FBS Independents","South Florida","American Athletic","BYU","South Florida","14","0","401301009","4013010097","7","4","1","6","24","3","3","77","23","1","10","false","13","Rush","Baylor Romney run for 13 yds to the SFla 10 for a 1ST down","0.1501508358217865","2021-09-26T02:48:19.000Z"
"401301009101945401","BYU","FBS Independents","South Florida","American Athletic","BYU","South Florida","14","0","401301009","4013010097","7","5","1","5","45","3","3","90","10","1","10","false","9","Pass Reception","Baylor Romney pass complete to Puka Nacua for 9 yds to the SFla 1","0.613474604776436","2021-09-26T02:49:25.000Z"
"401301009101947401","BYU","FBS Independents","South Florida","American Athletic","BYU","South Florida","14","0","401301009","4013010097","7","6","1","5","25","3","3","99","1","2","1","false","0","Penalty","SOUTH FLORIDA Penalty, Defensive Offside (Blake Green) to the SFla 1","","2021-09-26T02:50:01.000Z"
"401301009101949501","BYU","FBS Independents","South Florida","American Athletic","BYU","South Florida","14","0","401301009","4013010097","7","7","1","5","4","3","3","99","1","2","1","false","0","Pass Incompletion","Baylor Romney pass incomplete to Isaac Rex","-0.553645991706544","2021-09-26T02:50:22.000Z"
"401301009101954301","BYU","FBS Independents","South Florida","American Athletic","BYU","South Florida","14","0","401301009","4013010097","7","8","1","4","56","3","3","99","1","3","1","false","0","Rush","Samson Nacua run for no gain to the SFla 1","-0.331755745676551","2021-09-26T02:51:13.000Z"
"401301009101957901","BYU","FBS Independents","South Florida","American Athletic","BYU","South Florida","21","0","401301009","4013010097","7","9","1","4","20","3","3","99","1","4","1","true","1","Rushing Touchdown","Tyler Allgeier run for 1 yd for a TD, (Justen Smith KICK)","2.785753974856101","2021-09-26T02:51:45.000Z"
"401301009101957903","BYU","FBS Independents","South Florida","American Athletic","BYU","South Florida","21","0","401301009","4013010098","8","1","1","4","20","3","3","35","65","4","1","false","5","Kickoff","Justen Smith kickoff for 51 yds , Jimmy Horn Jr. return for 5 yds to the SFla 19","","2021-09-26T02:56:12.000Z"
"401301009102875803","BYU","FBS Independents","South Florida","American Athletic","BYU","South Florida","21","3","401301009","4013010099","9","2","2","12","41","3","2","17","83","1","10","false","11","Pass Reception","Baylor Romney pass complete to Neil Pau'u for 11 yds to the BYU 28 for a 1ST down","0.6795498702856051","2021-09-26T03:13:10.000Z"
"401301009102879401","BYU","FBS Independents","South Florida","American Athletic","BYU","South Florida","21","3","401301009","4013010099","9","3","2","12","5","3","2","28","72","1","10","false","5","Rush","Lopini Katoa run for 5 yds to the BYU 33","0.0997589035143243","2021-09-26T03:17:42.000Z"
"401301009102886501","BYU","FBS Independents","South Florida","American Athletic","BYU","South Florida","21","3","401301009","4013010099","9","4","2","11","34","3","2","33","67","2","5","false","9","Pass Reception","Baylor Romney pass complete to Neil Pau'u for 9 yds to the BYU 42 for a 1ST down","1.1941705967124125","2021-09-26T03:18:12.000Z"
"401301009102888301","BYU","FBS Independents","South Florida","American Athletic","BYU","South Florida","21","3","401301009","4013010099","9","5","2","11","16","3","2","42","58","1","10","false","1","Rush","Tyler Allgeier run for 1 yd to the BYU 43","-0.9258054961347764","2021-09-26T03:18:56.000Z"
"401301009102894901","BYU","FBS Independents","South Florida","American Athletic","BYU","South Florida","21","3","401301009","4013010099","9","6","2","10","50","3","2","43","57","2","9","false","0","Pass Incompletion","Baylor Romney pass incomplete to Tyler Allgeier","-0.9030775559550781","2021-09-26T03:19:22.000Z"
"401301009102895401","BYU","FBS Independents","South Florida","American Athletic","BYU","South Florida","21","3","401301009","4013010099","9","7","2","10","45","3","2","43","57","3","9","false","4","Pass Reception","Baylor Romney pass complete to Tyler Allgeier for 4 yds to the BYU 47","-0.1033081730564271","2021-09-26T03:19:49.000Z"
"401301009102899501","BYU","FBS Independents","South Florida","American Athletic","BYU","South Florida","21","3","401301009","4013010099","9","8","2","10","4","3","2","47","53","4","5","false","0","Punt","Ryan Rehkow punt for 53 yds for a touchback","","2021-09-26T03:20:32.000Z"
"401301009102955201","BYU","FBS Independents","South Florida","American Athletic","BYU","South Florida","21","6","401301009","40130100911","11","2","2","4","47","2","1","25","75","1","10","false","6","Pass Reception","Baylor Romney pass complete to Masen Wake for 6 yds to the BYU 31","0.3333748010525683","2021-09-26T03:41:45.000Z"
"401301009102958201","BYU","FBS Independents","South Florida","American Athletic","BYU","South Florida","21","6","401301009","40130100911","11","3","2","4","17","2","1","31","69","2","4","false","10","Rush","Tyler Allgeier run for 10 yds to the BYU 41 for a 1ST down","1.0853679688703259","2021-09-26T03:42:06.000Z"
"401301009102966001","BYU","FBS Independents","South Florida","American Athletic","BYU","South Florida","21","6","401301009","40130100911","11","4","2","3","39","2","1","41","59","1","10","false","2","Pass Reception","Baylor Romney pass complete to Masen Wake for 2 yds to the BYU 43","-0.6841550241957303","2021-09-26T03:42:53.000Z"
"401301009102969901","BYU","FBS Independents","South Florida","American Athletic","BYU","South Florida","21","6","401301009","40130100911","11","5","2","3","0","2","1","43","57","2","8","false","-10","Penalty","BYU Penalty, Offensive Holding (Joe Tukuafu) to the BYU 33","","2021-09-26T03:44:05.000Z"
"401301009102974701","BYU","FBS Independents","South Florida","American Athletic","BYU","South Florida","21","6","401301009","40130100911","11","6","2","2","52","2","1","33","67","2","18","false","25","Rush","Lopini Katoa run for 25 yds to the SFla 42 for a 1ST down","3.62448433026127078","2021-09-26T03:44:37.000Z"
